,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,banihal,45.52,-122.68,46.0,94,100,10.07,US,1605408266
1,banihal,45.52,-122.68,46.0,94,100,10.07,US,1605408175
2,hami,42.8,93.45,43.38,55,3,2.75,CN,1605408553
3,mwinilunga,-11.74,24.43,61.81,96,100,0.85,ZM,1605408682
4,san francisco,37.77,-122.42,54.0,66,1,11.41,US,1605408682
5,santa maria,-29.68,-53.81,80.6,69,40,3.36,BR,1605408682
6,inhambane,-23.86,35.38,68.83,79,0,7.18,MZ,1605408683
7,chokurdakh,70.63,147.92,-25.37,86,5,5.73,RU,1605408683
8,portland,45.52,-122.68,46.0,94,100,10.07,US,1605408175
9,hermanus,-34.42,19.23,55.0,92,96,5.5,ZA,1605408403
10,souillac,-20.52,57.52,73.4,83,75,10.29,MU,1605408684
11,boende,-0.22,20.87,69.01,98,95,1.54,CD,1605408684
12,arraial do cabo,-22.97,-42.03,73.11,92,100,1.14,BR,1605408684
13,pangkalanbuun,-2.68,111.62,89.91,62,86,1.45,ID,1605408684
14,longyearbyen,78.22,15.64,41.0,75,40,28.86,SJ,1605408203
15,rikitea,-23.12,-134.97,76.19,82,86,14.38,PF,1605408405
16,korla,41.76,86.15,43.0,91,100,8.01,CN,1605408405
17,qaanaaq,77.48,-69.36,11.37,79,100,13.31,GL,1605408405
18,upernavik,72.79,-56.15,12.33,83,100,12.37,GL,1605408405
19,oranjemund,-28.55,16.43,59.97,85,74,15.66,NA,1605408406
20,saskylakh,71.92,114.08,6.53,92,100,12.71,RU,1605408406
21,jamestown,42.1,-79.24,39.99,64,1,6.93,US,1605408406
22,airai,-8.93,125.41,81.61,40,5,4.59,TL,1605408407
23,kentau,43.52,68.51,26.92,96,100,9.1,KZ,1605408259
24,nuuk,64.18,-51.72,17.6,52,0,14.99,GL,1605408407
25,albany,42.6,-73.97,36.0,61,0,2.91,US,1605408408
26,saint-francois,46.42,3.91,48.0,93,0,2.24,FR,1605408408
27,ushuaia,-54.8,-68.3,42.8,70,75,11.41,AR,1605408383
28,asosa,10.07,34.53,63.54,59,17,4.12,ET,1605408408
29,aswan,24.09,32.91,63.27,62,0,10.16,EG,1605408409
30,atuona,-9.8,-139.03,77.58,77,93,15.26,PF,1605408409
31,hilo,19.73,-155.09,75.2,73,90,5.82,US,1605408352
32,fort nelson,58.81,-122.7,8.6,92,75,2.24,CA,1605408305
33,bluff,-46.6,168.33,73.99,57,100,1.01,NZ,1605408410
34,colesberg,-30.72,25.1,63.39,55,2,3.98,ZA,1605408410
35,avarua,-21.21,-159.78,80.6,74,21,14.99,CK,1605408410
36,asau,46.43,26.4,37.0,87,4,4.54,RO,1605408411
37,popova,42.96,131.72,55.4,62,41,10.25,RU,1605408411
38,victoria,22.29,114.16,77.0,61,40,5.82,HK,1605408411
39,rosarito,32.33,-117.03,62.01,87,5,5.82,MX,1605408411
40,ossora,59.24,163.07,39.47,93,100,30.42,RU,1605408412
41,ahipara,-35.17,173.17,67.62,47,100,7.27,NZ,1605408412
42,barrow,71.29,-156.79,19.4,73,75,21.92,US,1605408413
43,kumluca,36.37,30.29,60.66,57,11,10.0,TR,1605408413
44,lompoc,34.64,-120.46,53.6,93,1,5.82,US,1605408413
45,urumqi,43.8,87.6,33.8,69,75,4.47,CN,1605408380
46,half moon bay,37.46,-122.43,53.6,76,40,4.7,US,1605408414
47,ribeira grande,38.52,-28.7,64.24,84,100,12.64,PT,1605408414
48,alekseyevsk,57.84,108.35,17.85,94,96,5.5,RU,1605408414
49,clyde river,70.47,-68.59,21.2,92,90,29.97,CA,1605408415
50,faanui,-16.48,-151.75,79.61,75,66,6.06,PF,1605408415
51,ekhabi,53.51,142.97,32.14,95,98,17.56,RU,1605408415
52,bethel,41.37,-73.41,35.01,86,1,3.36,US,1605408415
53,bengkulu,-3.8,102.27,87.53,60,25,1.25,ID,1605408416
